Environment,Host,IP Address,WE 01.10,WE 01.17,WE 01.24,WE 02.02,WE 02.09,WE 02.16,WE 02.23,WE 03.01,WE 03.08,WE 03.15,WE 03.22,WE 03.29,WE 04.05,WE 04.12,WE 04.19,WE 04.26,WE 05.03,WE 05.10,WE 05.17,WE 05.24,WE 05.31,WE 06.07,WE 06.14,WE 06.21,WE 06.28,WE 07.05,WE 07.12,WE 07.19,WE 07.26,WE 08.02,WE 08.09,WE 08.16,WE 08.23,WE 08.31,WE 09.06,WE 09.13,WE 09.20,WE 09.27,WE 10.04,WE 10.11,WE 10.18,WE 10.25,WE 11.03,WE 11.08,WE 11.15,WE 11.22,WE 11.30,WE 12.09,WE 12.13,WE 12.20,WE 12.28,WE 01.04,WE 01.10,WE 01.17,WE 01.24,WE 01.28
PROD2,dpadesignmidtier,10.237.82.132,1.33%,8.50%,4.58%,1.52%,1.20%,13.98%,0.94,2.47,1.02,2.47,1.46,1.33,8.83,1.08,1.53,1.2,7.16,1.52,4.7,9.23,1.38,3.99,1.26,10.04,1.4,1.4,4.15,11.67,0.82,7.47,10.72,6.59,3.8,1.08,1.97,1.52,1.39,2.48,0.57,2.73,2.36,16.22,1.33,1.59,29.21,24.7,1.84,1.66,8.12,4.19,4.48,4.63,1.13,1.97,6.56,4.41
PROD2,dpadesignrtdm,10.237.82.133,2.26%,12.20%,10.80%,1.25%,1.51%,2.51%,0.5,7.83,4.26,0.5,2.76,2.27,8.82,2.52,13.42,0.51,10.7,1.5,0.5,18.39,10.03,4.27,2.51,3.02,4.52,5.53,0.5,9.55,3.27,11.75,5.04,10.53,5.26,2.77,2.76,10.49,4.52,6.06,0.5,2.76,10.33,10.28,3.76,13.1,11.45,4.52,9.05,5.28,0.76,10.89,12.37,10.33,10.33,4.55,4.79,9.34
PROD2,dpadicompute,10.237.82.134,0.38%,6.48%,5.36%,2.75%,0.34%,0.44%,1.5,1.25,0.81,1.98,0.28,1.94,0.16,46.87,7.09,1.13,18.8,3.35,0.34,0.25,0.31,3.6,0.47,0.78,0.38,0.44,0.13,1.1,1.13,10.82,7.57,7.58,0.66,0.69,3.66,1.29,1.19,2.07,3.51,4.45,0.94,0.97,1.41,1.32,8.11,3.6,1.35,3.6,1.35,3.74,6.4,1.16,4.8,3.87,0.85,9.14
PROD2,dpaanalytics,10.237.82.135,0.56%,1.96%,1.96%,0.44%,2.51%,0.13%,0.44,0.44,2.45,0.75,2.51,0.13,0.5,2.38,0.63,0.19,11.3,0.81,1.01,2.13,0.69,1.25,2.95,2.58,2.51,1.38,0.69,1.63,0.06,0.81,0.56,0.19,1.19,1.06,0.94,0.94,1.19,0.63,0.5,1,0.19,1.19,2.82,0.81,0.88,27.44,3.33,9.67,1.07,2.58,1.32,1,2.13,0.13,3.33,9.39
PROD2,dpadesignmetadata,10.237.82.136,4.76%,7.00%,4.00%,0.63%,1.00%,1.75%,1.63,0.88,0.38,2.63,0.5,1,2.13,0.38,0.75,0.38,15,1.88,2.5,3.5,2.88,0.5,0.88,0.63,2.88,16.69,7.88,0.5,0.75,10.11,1.88,5,0.38,0.75,0.75,1.25,2.89,1.5,2.5,1.25,4.26,1.5,3.13,3.01,1.38,3.25,4.01,3.75,1.25,4.26,1.75,1.5,3.5,3.88,1.75,1.38
PROD2,dpama,10.237.82.137,4.22%,5.42%,2.23%,3.30%,0.03%,2.48%,0.91,0.75,0.25,0.38,0.25,0.22,0.25,0.16,0.19,0.44,10.8,2.44,1.25,0.44,0.13,1.29,0.06,0.38,0.41,0.06,0.44,1.82,0.31,0.63,1.54,1.57,1.51,0.44,4.11,0.03,0.44,1.22,0.81,0.97,0.06,0.22,3.16,0.03,1.63,0.6,1.98,2.79,0.41,0.56,3.57,0.34,1.51,0.19,0.6,1.91
PROD2,dpamo,10.237.82.138,0.06%,0.86%,0.87%,0.10%,1.00%,0.28%,0.31,0.13,0.13,0.34,0.19,0.34,0.91,0.19,0.38,0.13,3.64,0.25,0.25,1.16,0.16,0.06,0.28,1.13,0.6,1.22,0.34,0.28,1.1,0.44,1.06,1.34,0.56,0.28,0.5,1.57,1.22,1.63,1.41,0.16,0.06,0.44,0.56,0.5,0.5,0.47,1.72,0.31,0.69,0.25,0.06,1.38,0.47,0.97,1.85,0.6
PROD2,dpartdmruntimedeployment,10.237.82.139,5.37%,21.90%,2.92%,8.23%,7.46%,12.79%,33.16,5.9,5.96,6.65,5.64,6.43,14.76,10.43,7.18,5.43,37.6,17.53,6.68,15.9,16.37,9.23,8.72,8.74,37.66,47.29,12.24,9,10.31,19.49,8.67,59.38,17.6,48.59,17.14,9.44,9.74,17.44,85.64,10.23,6.36,51.55,7.18,5.38,42.49,23.59,14.14,11.05,19.33,23.97,12.95,11.54,18.21,12.82,30.85,12.56
PROD2,dparuntimemetadata01,10.237.82.140,5.50%,5.00%,5.00%,1.30%,2.24%,7.04%,0.5,1.5,9.48,0.75,4.76,1.75,2.26,1.75,1.5,1.75,16,2.76,3.5,20.87,3.51,5.28,7.02,1.75,3.01,0.5,2.01,9.52,4.51,12.6,3.25,2.99,1.75,9.55,2,3.76,0.25,2.76,8.75,3.51,0,10.22,9.02,4.51,2.26,4,3.26,8.82,4.26,2.25,3.25,0,0.5,9.05,0.75,0.5
PROD2,dparuntimemetadata02,10.237.82.141,1.25%,2.00%,10.00%,1.50%,0.50%,1.50%,14.79,0.75,1,1.5,1.75,6.77,16.33,1.75,1.75,2.01,9,2,2.5,9.02,2,8.04,8.5,8.27,4.02,2.51,2.25,5,0.5,7.77,8.77,2.76,4.25,3,2,6.02,3.26,8.95,9.77,0.75,2.01,3.26,8.25,3.49,0.75,21.61,1.5,3.76,1.25,8.77,3.5,3.01,0.75,3.51,1.5,5.28
PROD2,dparuntimemetadata03,10.237.82.142,3.75%,2.00%,2.00%,1.10%,0.25%,1.75%,0.75,1.5,0.5,7.75,1.5,1.5,1.25,8.5,0.25,7.77,11,0.25,3.01,9.02,2.25,5.53,2.76,10.25,1.75,8.54,9.32,1.5,2.01,1,10,2.01,3.23,3.5,9.75,2.99,10,4.02,3,8.75,12.75,4.5,7.29,2.25,2.75,4.52,10.83,9.23,2.76,9.5,9.82,7.54,4.26,2.24,9.25,2.26
PROD2,ip-10-237-82-143,10.237.82.143,9.38%,2.91%,3.36%,3.00%,1.92%,1.17%,1.16,0.64,0.56,1.33,1.13,0.67,0.16,0.19,0.19,0.06,1.79,0.23,0.53,1.41,0.17,0.08,0.13,0.14,0.38,0.41,1.35,0.34,0.08,0.72,0.78,0.97,1.02,0.14,0.86,1.36,0.42,0.34,1.03,0.34,1.13,1.05,0.56,0.05,0.09,0.45,10.12,4.16,10.8,11.4,8.7,8.59,3.9,6.91,7.85,5.08
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,10.237.82.144,4.87%,12.10%,11.60%,8.34%,3.66%,7.72%,12.71,8.83,8.55,10.12,8.79,8.57,8.1,8.52,4.42,8.83,9.84,8.74,14.42,14.24,9.69,8.51,8.49,6.9,13.19,8.32,13.67,8.42,8.45,10.27,10.91,9.83,13.3,2.75,8.05,12.19,8.58,3.9,10.55,7.88,8.66,8.39,10.35,6.95,8.17,8.07,10.2,9.05,9.94,6.85,8.53,8.76,9.13,9.6,7.54,9.3
PROD2,ip-10-237-82-145.ap-southeast-1.compute.internal,10.237.82.145,6.83%,13.40%,13.40%,16.91%,12.93%,9.79%,11.62,5.47,19.78,10.14,7.12,8.68,9.07,8.8,6.79,5.71,10.7,7.9,8.82,8.42,16.44,6.59,9.2,14.14,8.94,9.51,4.38,8.52,13.33,6.87,9.29,18.4,3.95,3.94,8.28,9.95,10.63,6.2,6.65,5.66,9.5,9.07,6.62,6.36,9.24,11.54,5.62,8.27,9.44,9.68,10.19,7.52,8.67,9.93,7.78,7.97
PROD2,ip-10-237-82-146.ap-southeast-1.compute.internal,10.237.82.146,1.00%,2.91%,2.71%,7.00%,3.21%,0.45%,1.17,0.27,0.27,0.33,1.22,0.22,0.55,0.36,0.74,0.74,2.29,0.23,0.44,0.3,0.94,0.74,0.89,0.3,1.72,0.36,0.11,0.31,1.68,0.25,0.19,1.13,0.94,0.94,0.56,0.28,0.52,1.58,0.42,0.33,0.19,0.28,1.16,0.33,1.39,1.76,1.02,0.71,0.42,1.33,0.83,0.5,0.66,0.3,1.58,1.32
PROD2,dpaespdistrib,10.237.82.174,1.70%,1.18%,1.23%,1.00%,0.94%,1.29%,0.22,0.28,0.16,0.78,0.47,0.6,0.28,1.79,1.26,0.06,5.31,1.85,2.23,0.63,1.1,1.7,1.54,1.35,0.31,0.94,4.43,3.48,6.02,3.17,5.97,2.85,4.43,4.46,4.92,3.73,7.75,5.09,6.91,4.14,5.36,4.96,9.17,7.61,5.87,4.46,4.49,4.81,6.94,7.76,9,8.14,5.47,5.59,6.95,8.73
STAG2,dpastgdeployment,10.237.82.225,2.02%,3.03%,21.50%,16.00%,4.02%,0.10%,3.03,0.5,4.02,2.01,11.44,5.53,2.53,4.52,13.57,5.05,20,11.44,6.5,7.54,6.53,7.58,4.02,8.04,16.16,13.64,14.14,6.57,0,7.04,6.03,1.51,5.5,15.15,2.01,5.53,6.57,15.92,6.06,5,6.06,13.64,7.58,7.54,17.59,5.58,5.05,6.06,6.57,6.09,14.07,2.53,0.5,12.63,4.06,7.07
STAG2,dpastgespproc10,10.237.82.227,13.53%,18.00%,21.00%,18.00%,19.81%,4.16%,4.07,0.41,0.22,2.8,1.38,1.51,0.41,1.29,1.19,0.5,1.79,1.38,2.46,0.22,1.35,0.85,2.05,2.05,0.47,0.41,0.25,1.45,1.85,2.46,0.19,0.44,0.53,0.63,0.06,0.41,0.47,1.38,0.63,1.51,0.69,1.63,0.75,1.57,0.09,0.66,0.06,2.23,1.23,0.69,1.39,1.16,1.76,0.53,1.41,0.72
STAG2,ip-10-237-82-238,10.237.82.238,5.01%,3.13%,10.50%,20.76%,13.31%,10.59%,1.06,0.39,0.22,1.27,0.45,0.92,0.31,1.04,0.66,4.5,2.46,0.45,0.64,0.67,1.56,0.88,0.2,1.13,0.83,0.47,17.42,2.04,1.93,0.81,2.37,0.58,1.29,0.66,0.86,1.5,1.87,0.75,4.43,0.22,1.44,3.2,1.93,12.98,7.74,7.49,5.6,10.81,10.98,8.63,7.42,7.37,8.51,5.3,7.64,7.83
STAG2,ip-10-237-82-239,10.237.82.239,0.42%,2.24%,9.62%,18.45%,17.40%,1.95%,0.34,0.83,0.44,2.36,0.89,0.71,0.64,0.97,0.17,0.53,4.25,0.89,1.18,0.22,0.67,1.21,0.36,0.47,0.08,0.83,11.63,1.22,2.15,2.6,1.78,0.83,2.49,1.76,0.31,0.3,1.57,0.74,3.25,0.31,1.74,15.11,2.54,6.93,9.04,7.38,5.49,10.27,7.48,10.6,9.1,7.99,8.73,7.79,7.98,7.46
STAG2,ip-10-237-82-240,10.237.82.240,10.94%,6.15%,14.50%,14.05%,2.11%,10.87%,0.64,0.27,0.09,3.23,0.11,1.85,0.22,0.92,0.69,1.05,2.07,0.11,3.64,0.67,0.78,7.09,1.81,0.77,0.48,8.15,3.48,1.11,2.68,1.48,2.27,0.2,1.87,1.9,0.85,0.22,1.07,1.22,2.23,0.56,1.19,3.68,1.07,1.41,0.17,2.97,0.81,2.2,1.29,1.4,6.94,1.11,0.19,0.3,1.3,0.86
STAG2,ip-10-237-82-241.ap-southeast-1.compute.internal,10.237.82.241,0.92%,3.69%,9.62%,40.00%,1.89%,2.34%,0.39,0.42,0.42,1.11,0.27,1.3,0.59,0.42,0.17,1.61,4.12,0.27,8.21,0.2,6.11,10,1.69,6.72,2.77,7.68,2.34,1.85,2.48,6.73,0.97,0.55,2.21,2.16,6.53,1.5,4.07,0.31,7.51,8.22,8.48,6.29,4.42,6.02,1.88,7.32,9.62,10.63,9.33,9.68,6.62,11.28,6.98,12.29,NO-DATA,NO-DATA
STAG2,dpastgrunmeta03,10.237.82.242,6.53%,5.00%,7.00%,7.83%,2.26%,2.00%,2,19.05,0,1.75,2,0.5,0,1.25,7.52,0.5,9,2,2.51,7.29,3.77,0.75,7.79,3.01,6.52,3.75,4.25,8.04,6.02,1.5,2.51,3.75,7.29,4,3.76,20.3,9.3,12.53,8.31,3.52,3.02,2.51,29.47,11.06,9.05,0.5,5.78,2.5,5.28,9.27,2.26,3,4.01,9,4.26,2.76
STAG2,dpastgrunmeta02,10.237.82.243,8.06%,7.00%,2.00%,1.25%,8.27%,2.02%,1.75,3,2.25,2,0.75,0.75,2.51,2.49,2.01,2.25,10,0.75,1.5,7.56,4.75,3.01,0.75,0.75,9.27,12.31,4.76,3.27,3.51,1.26,3.76,8.54,1,2.76,9.55,2.49,3.51,9.75,18.59,9,9.52,3.52,3.01,1,4.51,7.07,3.77,9.52,4.24,7.3,3.27,1.51,9.75,3.51,3.02,9.3
STAG2,dpastgrunmeta01,10.237.82.244,3.75%,3.00%,4.00%,3.74%,2.75%,8.77%,7.5,2.5,7.5,9.02,2,7.52,7.02,2.76,3,2.74,21,2,5.99,3.25,5.76,1.5,1,3.27,6.02,2.76,3.78,3.25,3.77,3.26,11.84,0.5,9.52,3.99,3,1.76,4.26,3,8.75,3.51,4.01,11.78,4.52,1,11.28,4.27,3.27,0.5,2.01,2.5,3.52,3.51,1.25,2.76,10.25,3.77
STAG2,dpastgrtdmrundep,10.237.82.245,4.28%,15.90%,21.50%,8.00%,51.66%,5.57%,10.13,3.54,2.28,20.05,2.78,1.01,2.79,4.28,26.95,2.54,56.6,2.78,0.76,29.72,14.9,10.1,5.28,6.31,4.82,14.43,3.55,7.61,2.02,4.8,5.56,13.42,5.84,6.84,13.99,18.83,2.79,19.34,32.91,11.31,6.36,30.89,31.55,19.64,20.26,30.43,10.54,10.97,21.39,11.79,9.97,10.26,22.56,11.57,7.97,10.23
STAG2,dpastgmo,10.237.82.246,3.60%,1.05%,1.98%,0.34%,0.16%,1.63%,0.13,0.19,0.81,0.31,0.22,0.28,2.07,1.03,0.06,0.22,1.96,0.22,0.25,0.41,0.81,0.13,0.31,0.66,1.19,2.04,0.47,0.69,0.5,1.16,0.72,1.1,0.5,0.53,1.32,0.47,1.22,0.28,1.79,0.6,0.82,1.89,0.38,0.94,2.07,0.69,2.11,0.53,0.85,2.17,0.28,1.79,0.34,1.79,2.07,0.72
STAG2,dpastgma,10.237.82.247,1.10%,1.76%,1.96%,1.07%,0.28%,0.28%,0.56,1.19,0.75,0.25,0.16,0.44,0.25,0.28,0.97,1.32,7.27,0.16,0.47,0.88,1,0.63,0.06,0.31,0.47,0.34,0.06,0.41,0.03,1.47,1.13,0.47,0.66,0.53,1.28,1.13,0.66,0.65,1.4,0.55,0.32,0.65,0.19,0.36,1.62,0.52,0.65,0.62,0.16,1.56,5.24,1.46,0.45,0.39,0.36,0.72
STAG2,dpastgdesmeta,10.237.82.250,2.62%,3.00%,2.00%,4.63%,10.05%,4.14%,12.3,2.75,0.5,1.76,0.63,2.88,2.26,1.5,0.63,2.01,8,0.63,0.75,3.74,1.63,1.25,3.25,3.25,0.75,1.5,1.5,1.13,0,4.24,1.25,2.75,1.38,3.63,4.01,3.38,3.63,3.88,0.38,6.52,1.13,7.02,12.64,2.13,3.64,2.76,0.75,8.16,2.25,3.75,1.5,1.63,0.5,6.89,4.38,2
STAG2,dpastganlytcs,10.237.82.251,0.25%,1.15%,0.59%,0.88%,0.69%,0.44%,0.19,0.69,2.26,2.26,2.07,1.69,0.44,2.13,6.34,2.26,2.63,2.07,2.07,0.81,1.13,0.06,0.19,2.58,2.57,0.81,2.39,0.63,0.81,0.38,0.94,1,0.75,0.5,1,0.94,0.81,2.76,2.64,2.51,2.83,2.7,5.53,1.19,0.31,15.57,1.32,0.94,0.75,3.46,1.13,2.45,2.38,0.75,0.25,0.44
STAG2,dpastgdicomp,10.237.82.252,0.19%,2.15%,4.45%,0.22%,1.03%,3.80%,0.97,4.29,0.28,0.34,0.19,0.53,0.31,0.19,0.22,5.41,24.8,0.19,3.69,4.23,4.17,3.29,4.26,7.52,7.75,3.94,4.55,3.44,7.46,3.63,3.29,4.29,3.41,3.5,3.92,3.38,4.51,4.07,3.72,3.57,7.48,5.59,4.39,8.95,11.97,10.72,9.89,10,10.86,10.64,10.02,10.85,10.78,10.85,14.28,18.86
STAG2,dpastgdesrtdm,10.237.82.253,9.07%,9.17%,8.39%,8.79%,8.77%,2.01%,1.76,3.26,2.26,1.51,1,2.26,12.63,2.51,1.52,2.76,12,1,0.5,2.51,0.75,2.76,2.01,5.78,3.28,3.27,7.05,3.26,5.9,5.54,1,9.37,3.77,5.53,9.82,7.04,3.78,8.06,2.27,3.02,5.03,2.27,10.83,3.79,0.5,6.55,9.6,2.78,15.19,4.29,12.53,1.51,2.52,17.51,40.45,3.79
STAG2,dpastgdesmid,10.237.82.254,1.02%,9.10%,9.10%,9.47%,8.55%,3.31%,4.73,16.58,0.89,1.2,0.7,13.52,0.89,9.03,1.34,1.48,9.17,0.7,3.8,3.23,5,1.22,4.54,0.45,1.35,3.69,15.94,1.09,1.6,14.07,1.17,1.48,5.89,1.22,1.67,14.56,8.85,4.36,0.7,1.34,1.59,1.21,3.75,7.91,1.85,3.6,2.05,3.7,1.49,14.56,17.38,2.15,15.61,1.9,10.4,1.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CPU,WE 01.10,WE 01.17,WE 01.24,WE 02.02,WE 02.09,WE 02.16,WE 02.23,WE 03.01,WE 03.08,WE 03.15,WE 03.22,WE 03.29,WE 04.05,WE 04.12,WE 04.19,WE 04.26,WE 05.03,WE 05.10,WE 05.17,WE 05.24,WE 05.31,WE 06.07,WE 06.14,WE 06.21,WE 06.28,WE 07.05,WE 07.12,WE 07.19,WE 07.26,WE 08.02,WE 08.09,WE 08.16,WE 08.23,WE 08.31,WE 09.06,WE 09.13,WE 09.20,WE 09.27,WE 10.04,WE 10.11,WE 10.18,WE 10.25,WE 11.03,WE 11.08,WE 11.15,WE 11.22,WE 11.30,WE 12.09,WE 12.13,WE 12.20,WE 12.28,WE 01.04,WE 01.10,WE 01.17,WE 01.24,WE 01.24
,,Ave,4.99,5.74,6.33,7.95,4,5,3.49,3,3,6,7,8,7,7,6,5,14,5,6,6,6,5,4,5,5,7,6,5,5,6,7,7,5,5,6,5,5,4,7,3,4,5,5,5,6,6,5,5,5,7,7,5,5,6,5,6
,,Min,0.6,0.86,0.59,0.1,0.03,0.1,0.13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Max,15.67,21.9,21.5,50.13,51.66,15.78,33.16,19,20,31,37,40,35,47,27,24,57,27,67,30,39,23,24,24,38,47,24,23,24,25,33,59,26,49,41,26,24,19,86,20,46,52,32,50,42,30,35,11,21,52,17,19,28,46,40,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average,,,,,,,,,,,,,,,,,23.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ESP,,,,,,,,,,,,,,,,,,13.78,12.55,11.92,12.51,12.32,12.24,13.61,12.59,13.2,12.32,12.49,12.84,12.59,15.15,12.94,12.87,12.62,12.63,13.21,12.26,1.32,3.3,2.54,2.7,3.19,3.81,4.77,4.9,4.95,4.38,4.63,4.57,5.22,5.99,4.38,6.29,5.31,3.44,3.92
,,RTDM,,,,,,,,,,,,,,,,,6.155,4.28,6.05,6.09,6.81,3.98,4.68,5.37,6.06,4.65,4.88,4.4,5.89,4.53,5.29,7.58,4.8,1.94,4.44,5.95,5.04,3.01,4.66,3.55,4.87,4.7,4.67,3.42,4.72,5.46,6.74,5.55,7.65,7.32,7.06,6.34,5.59,6.69,6.19,5.92
,,Camel - 174,,,,,,,,,,,,,,,,,5.31,1.85,2.23,0.63,1.1,1.7,1.54,1.35,0.31,0.94,4.43,3.48,6.02,3.17,5.97,2.85,4.43,4.46,4.92,3.73,7.75,5.09,6.91,4.14,5.36,4.96,9.17,7.61,5.87,4.46,4.49,4.81,6.94,7.76,9,8.14,5.47,5.59,6.95,8.73
